category,rank,brand,model,registrations_accumulated
AUTOMÓVEIS,1,VW,POLO,43153
COMERCIAIS LEVES,1,FIAT,STRADA,68733
AUTOMÓVEIS,2,GM,ONIX,37137
COMERCIAIS LEVES,2,FIAT,TORO,21699
AUTOMÓVEIS,3,VW,T CROSS,36295
COMERCIAIS LEVES,3,VW,SAVEIRO,20118
AUTOMÓVEIS,4,FIAT,ARGO,36199
COMERCIAIS LEVES,4,TOYOTA,HILUX,19479
AUTOMÓVEIS,5,VW,TERA,32131
COMERCIAIS LEVES,5,FORD,RANGER,14022
AUTOMÓVEIS,6,HYUNDAI,HB20,32021
COMERCIAIS LEVES,6,GM,S10,11796
AUTOMÓVEIS,7,HYUNDAI,CRETA,30392
COMERCIAIS LEVES,7,FIAT,FIORINO,10793
AUTOMÓVEIS,8,BYD,DOLPHIN MINI,29215
COMERCIAIS LEVES,8,RAM,RAMPAGE,10016
AUTOMÓVEIS,9,FIAT,MOBI,28420
COMERCIAIS LEVES,9,GM,MONTANA,6766
AUTOMÓVEIS,10,RENAULT,KWID,25948
COMERCIAIS LEVES,10,RENAULT,OROCH,4599
AUTOMÓVEIS,11,BYD,SONG,24895
COMERCIAIS LEVES,11,RENAULT,MASTER,4481
AUTOMÓVEIS,12,GM,TRACKER,24733
COMERCIAIS LEVES,12,MITSUBISHI,TRITON,4217
AUTOMÓVEIS,13,VW,NIVUS,23963
COMERCIAIS LEVES,13,GWM,POER,2497
AUTOMÓVEIS,14,JEEP,COMPASS,22907
COMERCIAIS LEVES,14,FIAT,TITANO,2336
AUTOMÓVEIS,15,FIAT,FASTBACK,20628
COMERCIAIS LEVES,15,FORD,MAVERICK,1798
AUTOMÓVEIS,16,FIAT,PULSE,20566
COMERCIAIS LEVES,16,KIA,K2500,1711
AUTOMÓVEIS,17,HONDA,HR-V,18342
COMERCIAIS LEVES,17,FIAT,SCUDO,1450
AUTOMÓVEIS,18,HYUNDAI,HB20S,17349
COMERCIAIS LEVES,18,RAM,DAKOTA,1426
AUTOMÓVEIS,19,JEEP,RENEGADE,16522
COMERCIAIS LEVES,19,VW,AMAROK,1413
AUTOMÓVEIS,20,GM,ONIX PLUS,16446
COMERCIAIS LEVES,20,FIAT,DUCATO,1359
AUTOMÓVEIS,21,GWM,HAVAL H6,16196
COMERCIAIS LEVES,21,RENAULT,KANGOO,1328
AUTOMÓVEIS,22,TOYOTA,COROLLA CROSS,15492
COMERCIAIS LEVES,22,VW TRUCK E BUS,EXPRESS,1111
AUTOMÓVEIS,23,NISSAN,KICKS,14328
COMERCIAIS LEVES,23,EFFA,V21,1110
AUTOMÓVEIS,24,HONDA,WR-V,14092
COMERCIAIS LEVES,24,IVECO,DAILY,1094
AUTOMÓVEIS,25,VW,VIRTUS,13243
COMERCIAIS LEVES,25,FORD,TRANSIT,950
AUTOMÓVEIS,26,BYD,DOLPHIN,12536
COMERCIAIS LEVES,26,TOYOTA,HIACE,947
AUTOMÓVEIS,27,NISSAN,KAIT,12255
COMERCIAIS LEVES,27,IVECO,DAILY 30-130,914
AUTOMÓVEIS,28,CAOA CHERY,TIGGO 7,12092
COMERCIAIS LEVES,28,NISSAN,FRONTIER,845
AUTOMÓVEIS,29,CAOA CHERY,TIGGO 5X,11924
COMERCIAIS LEVES,29,PEUGEOT,EXPERT,833
AUTOMÓVEIS,30,TOYOTA,YARIS CROSS,11738
COMERCIAIS LEVES,30,CITROEN,JUMPY,638
AUTOMÓVEIS,31,TOYOTA,COROLLA,11074
COMERCIAIS LEVES,31,FORD,F150,494
AUTOMÓVEIS,32,GEELY,EX2,10397
COMERCIAIS LEVES,32,FOTON,AUMARK S 315,383
AUTOMÓVEIS,33,FIAT,CRONOS,9665
COMERCIAIS LEVES,33,GM,SILVERADO,382
AUTOMÓVEIS,34,GM,SPIN,8022
COMERCIAIS LEVES,34,BYD,SHARK,338
AUTOMÓVEIS,35,OMODA JAECOO,OMODA 5,7258
COMERCIAIS LEVES,35,M.BENZ,SPRINTER 317,337
AUTOMÓVEIS,36,CITROEN,BASALT,6687
COMERCIAIS LEVES,36,M.BENZ,SPRINTER 417,314
AUTOMÓVEIS,37,JEEP,COMMANDER,6670
COMERCIAIS LEVES,37,RAM,3500,287
AUTOMÓVEIS,38,BYD,KING,6555
COMERCIAIS LEVES,38,PEUGEOT,BOXER,243
AUTOMÓVEIS,39,RENAULT,KARDIAN,6270
COMERCIAIS LEVES,39,PEUGEOT,PARTNER,222
AUTOMÓVEIS,40,VW,TAOS,6191
COMERCIAIS LEVES,40,SHINERAY,TLUX,194
AUTOMÓVEIS,41,HONDA,CITY,5932
COMERCIAIS LEVES,41,FOTON,TUNLAND,194
AUTOMÓVEIS,42,CAOA CHERY,TIGGO 8,5773
COMERCIAIS LEVES,42,CITROEN,JUMPER,186
AUTOMÓVEIS,43,TOYOTA,HILUX SW4,5656
COMERCIAIS LEVES,43,EFFA,V22,181
AUTOMÓVEIS,44,CITROEN,C3,5634
COMERCIAIS LEVES,44,JAC,HUNTER,159
AUTOMÓVEIS,45,RENAULT,DUSTER,5240
COMERCIAIS LEVES,45,RAM,2500,125
AUTOMÓVEIS,46,HONDA,CITY HATCH,4894
COMERCIAIS LEVES,46,MITSUBISHI,L200,80
AUTOMÓVEIS,47,GWM,HAVAL H9,4866
COMERCIAIS LEVES,47,IVECO,DAILY 35-180,77
AUTOMÓVEIS,48,RENAULT,BOREAL,4775
COMERCIAIS LEVES,48,HYUNDAI,HR,75
AUTOMÓVEIS,49,FORD,TERRITORY,4096
COMERCIAIS LEVES,49,KIA,UK2500,51
AUTOMÓVEIS,50,PEUGEOT,2008,3773
COMERCIAIS LEVES,50,EFFA,V25,47
