category,rank,brand,model,registrations_month
AUTOMÓVEIS,1,VW,POLO,10523
COMERCIAIS LEVES,1,FIAT,STRADA,15395
AUTOMÓVEIS,2,VW,T CROSS,9455
COMERCIAIS LEVES,2,FIAT,TORO,4405
AUTOMÓVEIS,3,HYUNDAI,HB20,8357
COMERCIAIS LEVES,3,TOYOTA,HILUX,3982
AUTOMÓVEIS,4,FIAT,ARGO,8274
COMERCIAIS LEVES,4,FORD,RANGER,3530
AUTOMÓVEIS,5,GM,ONIX,7713
COMERCIAIS LEVES,5,FIAT,FIORINO,3105
AUTOMÓVEIS,6,BYD,DOLPHIN MINI,7577
COMERCIAIS LEVES,6,VW,SAVEIRO,3099
AUTOMÓVEIS,7,VW,TERA,7574
COMERCIAIS LEVES,7,GM,S10,3008
AUTOMÓVEIS,8,HYUNDAI,CRETA,6599
COMERCIAIS LEVES,8,RAM,RAMPAGE,1858
AUTOMÓVEIS,9,BYD,SONG,6307
COMERCIAIS LEVES,9,GM,MONTANA,1542
AUTOMÓVEIS,10,VW,NIVUS,5806
COMERCIAIS LEVES,10,MITSUBISHI,TRITON,971
AUTOMÓVEIS,11,FIAT,MOBI,5728
COMERCIAIS LEVES,11,RENAULT,MASTER,839
AUTOMÓVEIS,12,RENAULT,KWID,5237
COMERCIAIS LEVES,12,RENAULT,OROCH,825
AUTOMÓVEIS,13,HYUNDAI,HB20S,5205
COMERCIAIS LEVES,13,GWM,POER,753
AUTOMÓVEIS,14,GM,TRACKER,5099
COMERCIAIS LEVES,14,RAM,DAKOTA,477
AUTOMÓVEIS,15,BYD,DOLPHIN,4963
COMERCIAIS LEVES,15,FIAT,TITANO,467
AUTOMÓVEIS,16,FIAT,PULSE,4763
COMERCIAIS LEVES,16,FORD,MAVERICK,438
AUTOMÓVEIS,17,JEEP,COMPASS,4584
COMERCIAIS LEVES,17,IVECO,DAILY,400
AUTOMÓVEIS,18,HONDA,HR-V,4549
COMERCIAIS LEVES,18,VW,AMAROK,380
AUTOMÓVEIS,19,GWM,HAVAL H6,4328
COMERCIAIS LEVES,19,FIAT,DUCATO,374
AUTOMÓVEIS,20,JEEP,RENEGADE,4323
COMERCIAIS LEVES,20,RENAULT,KANGOO,371
AUTOMÓVEIS,21,GEELY,EX2,4321
COMERCIAIS LEVES,21,KIA,K2500,368
AUTOMÓVEIS,22,FIAT,FASTBACK,4121
COMERCIAIS LEVES,22,IVECO,DAILY 30-130,358
AUTOMÓVEIS,23,GM,ONIX PLUS,3806
COMERCIAIS LEVES,23,VW TRUCK E BUS,EXPRESS,337
AUTOMÓVEIS,24,TOYOTA,YARIS CROSS,3641
COMERCIAIS LEVES,24,FIAT,SCUDO,275
AUTOMÓVEIS,25,TOYOTA,COROLLA CROSS,3495
COMERCIAIS LEVES,25,EFFA,V21,241
AUTOMÓVEIS,26,NISSAN,KAIT,3352
COMERCIAIS LEVES,26,CITROEN,JUMPY,215
AUTOMÓVEIS,27,HONDA,WR-V,3254
COMERCIAIS LEVES,27,FORD,TRANSIT,203
AUTOMÓVEIS,28,NISSAN,KICKS,3197
COMERCIAIS LEVES,28,NISSAN,FRONTIER,186
AUTOMÓVEIS,29,VW,VIRTUS,2931
COMERCIAIS LEVES,29,TOYOTA,HIACE,183
AUTOMÓVEIS,30,CAOA CHERY,TIGGO 7,2883
COMERCIAIS LEVES,30,PEUGEOT,EXPERT,170
AUTOMÓVEIS,31,GM,SONIC,2778
COMERCIAIS LEVES,31,FORD,F150,129
AUTOMÓVEIS,32,CITROEN,BASALT,2744
COMERCIAIS LEVES,32,RAM,3500,112
AUTOMÓVEIS,33,FIAT,CRONOS,2734
COMERCIAIS LEVES,33,M.BENZ,SPRINTER 317,89
AUTOMÓVEIS,34,CAOA CHERY,TIGGO 5X,2482
COMERCIAIS LEVES,34,FOTON,AUMARK S 315,78
AUTOMÓVEIS,35,GM,SPIN,2254
COMERCIAIS LEVES,35,RAM,2500,66
AUTOMÓVEIS,36,TOYOTA,COROLLA,2217
COMERCIAIS LEVES,36,M.BENZ,SPRINTER 417,60
AUTOMÓVEIS,37,BYD,KING,1896
COMERCIAIS LEVES,37,CITROEN,JUMPER,52
AUTOMÓVEIS,38,VW,TAOS,1670
COMERCIAIS LEVES,38,PEUGEOT,BOXER,50
AUTOMÓVEIS,39,OMODA JAECOO,OMODA 5,1562
COMERCIAIS LEVES,39,PEUGEOT,PARTNER,44
AUTOMÓVEIS,40,HONDA,CITY,1502
COMERCIAIS LEVES,40,RIDDARA,RD6,42
AUTOMÓVEIS,41,JEEP,COMMANDER,1456
COMERCIAIS LEVES,41,EFFA,V22,40
AUTOMÓVEIS,42,OMODA JAECOO,JAECOO 7,1391
COMERCIAIS LEVES,42,FOTON,TUNLAND,38
AUTOMÓVEIS,43,CAOA CHERY,TIGGO 8,1289
COMERCIAIS LEVES,43,GM,SILVERADO,31
AUTOMÓVEIS,44,CITROEN,C3,1267
COMERCIAIS LEVES,44,BYD,SHARK,30
AUTOMÓVEIS,45,RENAULT,KARDIAN,1266
COMERCIAIS LEVES,45,SHINERAY,TLUX,29
AUTOMÓVEIS,46,RENAULT,BOREAL,1244
COMERCIAIS LEVES,46,JAC,HUNTER,19
AUTOMÓVEIS,47,RENAULT,DUSTER,1225
COMERCIAIS LEVES,47,JAC,EJV5.5,15
AUTOMÓVEIS,48,GWM,HAVAL H9,1220
COMERCIAIS LEVES,48,IVECO,DAILY 35-180,14
AUTOMÓVEIS,49,TOYOTA,HILUX SW4,1187
COMERCIAIS LEVES,49,EFFA,V25,10
AUTOMÓVEIS,50,VW,TIGUAN,1187
COMERCIAIS LEVES,50,FOTON,EWONDER,6
